
2025/03/01 (16:53:28) | ===> btop++ v.1.4.0
2025/03/01 (16:53:28) | INFO: Logger set to INFO

2025/03/03 (11:36:45) | ===> btop++ v.1.4.0
2025/03/03 (11:36:45) | WARNING: Failed to join _runner thread on exit!

2025/03/20 (18:38:17) | ===> btop++ v.1.4.0
2025/03/20 (18:38:17) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (19:35:11) | ===> btop++ v.1.4.0
2025/04/24 (19:35:11) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (20:14:04) | ===> btop++ v.1.4.0
2025/04/27 (20:14:04) | WARNING: Failed to join _runner thread on exit!
